textnum,workerid,text,label
1,A2VR9DURGIYET3,"  Our Little Brother Eric I imagine seeing his future, taking his kids to a game at Cal Berkeley where we both played.  I imagine seeing his job as a firemen becoming a lifelong family and the career he hoped.  I imagine being there for when he and his wife celebrate their 25th anniversary and not just their first.  I imagine taking a walk with him around a house that has since become his home.  I imagine him teaching my kids about how great of a big brother I was and reminiscing with him about a simpler time.  Then I wake up from these dreams and the nightmare has just begun.      Diagnosis ALS   When you are diagnosed with ALS you are forced to see the future before you and realize that all your dreams have vanished.  That each day you must appreciate a basic skill before it has been taken from you. Life expectancy is 2-5 years and paralysis comes much sooner.   Why does it happen?    We are still at the infancy of understanding this disease and there  has not  been any definitive cause. Can some point to the game of football with claims of cause, sure. But reality is, all you will be doing is grasping for an answer.  An answer that will never come.  I know my brother, I know he is a fighter and know he will bite his lip and fight!  As he sits up in the doctors chair, he asked  “How do I fight it?”  That is where the nightmare takes hold. Because there is even less answers to this question than the one of cause.  As an athlete you want a game plan, as a firemen you want a protocol, as a human you want hope! But right now all I can do is look at him and pray.   Pray that he will be spared.   Pray that he will enjoy each day  Pray that he will know I will love him through all this.   Today, I have no answer to WHY it happens or WHAT to do, but I do have an answer for HOW you and I can help!  According to HuffPost.com, “ALS is a very expensive disease, costing patients an estimated $300,000 a year. The majority of patients bankrupt their families with the costs, and an even larger number simply can’t afford the cost to  stay alive , so they don’t. Can you imagine - having to stop  BEING ALIVE  because it’s too expensive?” All proceeds will go towards Eric’s treatment and care and will help raise awareness of ALS. We are so grateful for everyone’s continued support.  The Stevens Family  Learn more about Eric and his Battle to #axeALS at his Facebook page, Team Stevens Nation.  ",Donate $10
1,A3O2R6TE2GZRPG,"  Our Little Brother Eric I imagine seeing his future, taking his kids to a game at Cal Berkeley where we both played.  I imagine seeing his job as a firemen becoming a lifelong family and the career he hoped.  I imagine being there for when he and his wife celebrate their 25th anniversary and not just their first.  I imagine taking a walk with him around a house that has since become his home.  I imagine him teaching my kids about how great of a big brother I was and reminiscing with him about a simpler time.  Then I wake up from these dreams and the nightmare has just begun.      Diagnosis ALS   When you are diagnosed with ALS you are forced to see the future before you and realize that all your dreams have vanished.  That each day you must appreciate a basic skill before it has been taken from you. Life expectancy is 2-5 years and paralysis comes much sooner.   Why does it happen?    We are still at the infancy of understanding this disease and there  has not  been any definitive cause. Can some point to the game of football with claims of cause, sure. But reality is, all you will be doing is grasping for an answer.  An answer that will never come.  I know my brother, I know he is a fighter and know he will bite his lip and fight!  As he sits up in the doctors chair, he asked  “How do I fight it?”  That is where the nightmare takes hold. Because there is even less answers to this question than the one of cause.  As an athlete you want a game plan, as a firemen you want a protocol, as a human you want hope! But right now all I can do is look at him and pray.   Pray that he will be spared.   Pray that he will enjoy each day  Pray that he will know I will love him through all this.   Today, I have no answer to WHY it happens or WHAT to do, but I do have an answer for HOW you and I can help!  According to HuffPost.com, “ALS is a very expensive disease, costing patients an estimated $300,000 a year. The majority of patients bankrupt their families with the costs, and an even larger number simply can’t afford the cost to  stay alive , so they don’t. Can you imagine - having to stop  BEING ALIVE  because it’s too expensive?” All proceeds will go towards Eric’s treatment and care and will help raise awareness of ALS. We are so grateful for everyone’s continued support.  The Stevens Family  Learn more about Eric and his Battle to #axeALS at his Facebook page, Team Stevens Nation.  ",Donate $5
1,A2QGNZ4WU914YU,"  Our Little Brother Eric I imagine seeing his future, taking his kids to a game at Cal Berkeley where we both played.  I imagine seeing his job as a firemen becoming a lifelong family and the career he hoped.  I imagine being there for when he and his wife celebrate their 25th anniversary and not just their first.  I imagine taking a walk with him around a house that has since become his home.  I imagine him teaching my kids about how great of a big brother I was and reminiscing with him about a simpler time.  Then I wake up from these dreams and the nightmare has just begun.      Diagnosis ALS   When you are diagnosed with ALS you are forced to see the future before you and realize that all your dreams have vanished.  That each day you must appreciate a basic skill before it has been taken from you. Life expectancy is 2-5 years and paralysis comes much sooner.   Why does it happen?    We are still at the infancy of understanding this disease and there  has not  been any definitive cause. Can some point to the game of football with claims of cause, sure. But reality is, all you will be doing is grasping for an answer.  An answer that will never come.  I know my brother, I know he is a fighter and know he will bite his lip and fight!  As he sits up in the doctors chair, he asked  “How do I fight it?”  That is where the nightmare takes hold. Because there is even less answers to this question than the one of cause.  As an athlete you want a game plan, as a firemen you want a protocol, as a human you want hope! But right now all I can do is look at him and pray.   Pray that he will be spared.   Pray that he will enjoy each day  Pray that he will know I will love him through all this.   Today, I have no answer to WHY it happens or WHAT to do, but I do have an answer for HOW you and I can help!  According to HuffPost.com, “ALS is a very expensive disease, costing patients an estimated $300,000 a year. The majority of patients bankrupt their families with the costs, and an even larger number simply can’t afford the cost to  stay alive , so they don’t. Can you imagine - having to stop  BEING ALIVE  because it’s too expensive?” All proceeds will go towards Eric’s treatment and care and will help raise awareness of ALS. We are so grateful for everyone’s continued support.  The Stevens Family  Learn more about Eric and his Battle to #axeALS at his Facebook page, Team Stevens Nation.  ",No Donation
1,AYFD78FXIRIZS,"  Our Little Brother Eric I imagine seeing his future, taking his kids to a game at Cal Berkeley where we both played.  I imagine seeing his job as a firemen becoming a lifelong family and the career he hoped.  I imagine being there for when he and his wife celebrate their 25th anniversary and not just their first.  I imagine taking a walk with him around a house that has since become his home.  I imagine him teaching my kids about how great of a big brother I was and reminiscing with him about a simpler time.  Then I wake up from these dreams and the nightmare has just begun.      Diagnosis ALS   When you are diagnosed with ALS you are forced to see the future before you and realize that all your dreams have vanished.  That each day you must appreciate a basic skill before it has been taken from you. Life expectancy is 2-5 years and paralysis comes much sooner.   Why does it happen?    We are still at the infancy of understanding this disease and there  has not  been any definitive cause. Can some point to the game of football with claims of cause, sure. But reality is, all you will be doing is grasping for an answer.  An answer that will never come.  I know my brother, I know he is a fighter and know he will bite his lip and fight!  As he sits up in the doctors chair, he asked  “How do I fight it?”  That is where the nightmare takes hold. Because there is even less answers to this question than the one of cause.  As an athlete you want a game plan, as a firemen you want a protocol, as a human you want hope! But right now all I can do is look at him and pray.   Pray that he will be spared.   Pray that he will enjoy each day  Pray that he will know I will love him through all this.   Today, I have no answer to WHY it happens or WHAT to do, but I do have an answer for HOW you and I can help!  According to HuffPost.com, “ALS is a very expensive disease, costing patients an estimated $300,000 a year. The majority of patients bankrupt their families with the costs, and an even larger number simply can’t afford the cost to  stay alive , so they don’t. Can you imagine - having to stop  BEING ALIVE  because it’s too expensive?” All proceeds will go towards Eric’s treatment and care and will help raise awareness of ALS. We are so grateful for everyone’s continued support.  The Stevens Family  Learn more about Eric and his Battle to #axeALS at his Facebook page, Team Stevens Nation.  ",Donate $5
1,A2JP9IKRHNLRPI,"  Our Little Brother Eric I imagine seeing his future, taking his kids to a game at Cal Berkeley where we both played.  I imagine seeing his job as a firemen becoming a lifelong family and the career he hoped.  I imagine being there for when he and his wife celebrate their 25th anniversary and not just their first.  I imagine taking a walk with him around a house that has since become his home.  I imagine him teaching my kids about how great of a big brother I was and reminiscing with him about a simpler time.  Then I wake up from these dreams and the nightmare has just begun.      Diagnosis ALS   When you are diagnosed with ALS you are forced to see the future before you and realize that all your dreams have vanished.  That each day you must appreciate a basic skill before it has been taken from you. Life expectancy is 2-5 years and paralysis comes much sooner.   Why does it happen?    We are still at the infancy of understanding this disease and there  has not  been any definitive cause. Can some point to the game of football with claims of cause, sure. But reality is, all you will be doing is grasping for an answer.  An answer that will never come.  I know my brother, I know he is a fighter and know he will bite his lip and fight!  As he sits up in the doctors chair, he asked  “How do I fight it?”  That is where the nightmare takes hold. Because there is even less answers to this question than the one of cause.  As an athlete you want a game plan, as a firemen you want a protocol, as a human you want hope! But right now all I can do is look at him and pray.   Pray that he will be spared.   Pray that he will enjoy each day  Pray that he will know I will love him through all this.   Today, I have no answer to WHY it happens or WHAT to do, but I do have an answer for HOW you and I can help!  According to HuffPost.com, “ALS is a very expensive disease, costing patients an estimated $300,000 a year. The majority of patients bankrupt their families with the costs, and an even larger number simply can’t afford the cost to  stay alive , so they don’t. Can you imagine - having to stop  BEING ALIVE  because it’s too expensive?” All proceeds will go towards Eric’s treatment and care and will help raise awareness of ALS. We are so grateful for everyone’s continued support.  The Stevens Family  Learn more about Eric and his Battle to #axeALS at his Facebook page, Team Stevens Nation.  ",Donate $10
2,A2U4BSCOQDN17X,"  Late on the night of October 4th, 2019, our beloved Pedro Ventura was outside of a nightclub in Asheville, North Carolina when a stranger fired many gunshots into the crowd. He was visiting town from Los Angeles for one night for a wedding, but the course of his life was changed forever.   Despite the presence of up to 300 people in the street, Pedro was the only person hit in the gunfire, and his injuries are severe. The bullet entered his body at the back of his neck and ended up in his C4 vertebra, shattering parts of his spine and severing his spinal cord, initially leaving him paralyzed from the neck down and unable to breathe on his own. It is a miracle that he is alive, and the progress he has already made towards recovery – including regaining partial control of his breathing and movement in his shoulders – has defied doctors' expectations.  The road to recovery for Pedro will be long, but he is dedicated to continuing his journey and living a full life. As we, his immediate family, are still in the wake of this devastating tragedy, it’s difficult to imagine what the future holds, but we know that Pedro will never cease to be the brilliant, beautiful, hardworking, and vivacious man that he is. We simply need to be able to support him along that journey.  We are asking for your help to cover the costs of hospital stays, rehabilitation facilities, and 24/7 care for Pedro as he transitions into a life that is different, but still his own. We also need help with housing, transportation, and food costs for our family as we support him during this time. Your support means the world to Pedro and to all of us.    About Pedro:  Pedro is a fighter, a light in this world and a joy to all those who know him. He has always been a pioneer, a brave young man who has consistently defied expectations. Pedro is a first-generation immigrant from the Dominican Republic who came to New York City at the age of four and was quickly recognized as among the brightest of his peers. Despite not speaking English when he arrived, he was placed in gifted and talented school programs almost immediately, went on to graduate from the prestigious Prep for Prep leadership development program, and became the first member of his family to go to college. After graduating with honors from Wesleyan University in 2010, he went on to establish a career in the music industry which has taken him from New York to Miami and now Los Angeles. Pedro has a deep passion for his work and has thrived by carving his own path, conducting business in English, Spanish, and Portuguese and booking concert tours and festival appearances around the world for artists of all kinds.   An incredibly dedicated friend, family member, worker, and partner, Pedro is always the first person to volunteer to help and always has the biggest smile on his face. His compassion for others is palpable, his creativity knows no bounds, and he is beloved by all those who know him. He is a truly remarkable person, and we know his journey to recovery will be no different. Thank you for keeping him in your thoughts, and for contributing what you can to help him with this next phase of his life.  ",No Donation
2,A2JP9IKRHNLRPI,"  Late on the night of October 4th, 2019, our beloved Pedro Ventura was outside of a nightclub in Asheville, North Carolina when a stranger fired many gunshots into the crowd. He was visiting town from Los Angeles for one night for a wedding, but the course of his life was changed forever.   Despite the presence of up to 300 people in the street, Pedro was the only person hit in the gunfire, and his injuries are severe. The bullet entered his body at the back of his neck and ended up in his C4 vertebra, shattering parts of his spine and severing his spinal cord, initially leaving him paralyzed from the neck down and unable to breathe on his own. It is a miracle that he is alive, and the progress he has already made towards recovery – including regaining partial control of his breathing and movement in his shoulders – has defied doctors' expectations.  The road to recovery for Pedro will be long, but he is dedicated to continuing his journey and living a full life. As we, his immediate family, are still in the wake of this devastating tragedy, it’s difficult to imagine what the future holds, but we know that Pedro will never cease to be the brilliant, beautiful, hardworking, and vivacious man that he is. We simply need to be able to support him along that journey.  We are asking for your help to cover the costs of hospital stays, rehabilitation facilities, and 24/7 care for Pedro as he transitions into a life that is different, but still his own. We also need help with housing, transportation, and food costs for our family as we support him during this time. Your support means the world to Pedro and to all of us.    About Pedro:  Pedro is a fighter, a light in this world and a joy to all those who know him. He has always been a pioneer, a brave young man who has consistently defied expectations. Pedro is a first-generation immigrant from the Dominican Republic who came to New York City at the age of four and was quickly recognized as among the brightest of his peers. Despite not speaking English when he arrived, he was placed in gifted and talented school programs almost immediately, went on to graduate from the prestigious Prep for Prep leadership development program, and became the first member of his family to go to college. After graduating with honors from Wesleyan University in 2010, he went on to establish a career in the music industry which has taken him from New York to Miami and now Los Angeles. Pedro has a deep passion for his work and has thrived by carving his own path, conducting business in English, Spanish, and Portuguese and booking concert tours and festival appearances around the world for artists of all kinds.   An incredibly dedicated friend, family member, worker, and partner, Pedro is always the first person to volunteer to help and always has the biggest smile on his face. His compassion for others is palpable, his creativity knows no bounds, and he is beloved by all those who know him. He is a truly remarkable person, and we know his journey to recovery will be no different. Thank you for keeping him in your thoughts, and for contributing what you can to help him with this next phase of his life.  ",Donate $5
2,A2CIRSDBG6NQU1,"  Late on the night of October 4th, 2019, our beloved Pedro Ventura was outside of a nightclub in Asheville, North Carolina when a stranger fired many gunshots into the crowd. He was visiting town from Los Angeles for one night for a wedding, but the course of his life was changed forever.   Despite the presence of up to 300 people in the street, Pedro was the only person hit in the gunfire, and his injuries are severe. The bullet entered his body at the back of his neck and ended up in his C4 vertebra, shattering parts of his spine and severing his spinal cord, initially leaving him paralyzed from the neck down and unable to breathe on his own. It is a miracle that he is alive, and the progress he has already made towards recovery – including regaining partial control of his breathing and movement in his shoulders – has defied doctors' expectations.  The road to recovery for Pedro will be long, but he is dedicated to continuing his journey and living a full life. As we, his immediate family, are still in the wake of this devastating tragedy, it’s difficult to imagine what the future holds, but we know that Pedro will never cease to be the brilliant, beautiful, hardworking, and vivacious man that he is. We simply need to be able to support him along that journey.  We are asking for your help to cover the costs of hospital stays, rehabilitation facilities, and 24/7 care for Pedro as he transitions into a life that is different, but still his own. We also need help with housing, transportation, and food costs for our family as we support him during this time. Your support means the world to Pedro and to all of us.    About Pedro:  Pedro is a fighter, a light in this world and a joy to all those who know him. He has always been a pioneer, a brave young man who has consistently defied expectations. Pedro is a first-generation immigrant from the Dominican Republic who came to New York City at the age of four and was quickly recognized as among the brightest of his peers. Despite not speaking English when he arrived, he was placed in gifted and talented school programs almost immediately, went on to graduate from the prestigious Prep for Prep leadership development program, and became the first member of his family to go to college. After graduating with honors from Wesleyan University in 2010, he went on to establish a career in the music industry which has taken him from New York to Miami and now Los Angeles. Pedro has a deep passion for his work and has thrived by carving his own path, conducting business in English, Spanish, and Portuguese and booking concert tours and festival appearances around the world for artists of all kinds.   An incredibly dedicated friend, family member, worker, and partner, Pedro is always the first person to volunteer to help and always has the biggest smile on his face. His compassion for others is palpable, his creativity knows no bounds, and he is beloved by all those who know him. He is a truly remarkable person, and we know his journey to recovery will be no different. Thank you for keeping him in your thoughts, and for contributing what you can to help him with this next phase of his life.  ",Donate $5
2,AKMQH2MGTUWO9,"  Late on the night of October 4th, 2019, our beloved Pedro Ventura was outside of a nightclub in Asheville, North Carolina when a stranger fired many gunshots into the crowd. He was visiting town from Los Angeles for one night for a wedding, but the course of his life was changed forever.   Despite the presence of up to 300 people in the street, Pedro was the only person hit in the gunfire, and his injuries are severe. The bullet entered his body at the back of his neck and ended up in his C4 vertebra, shattering parts of his spine and severing his spinal cord, initially leaving him paralyzed from the neck down and unable to breathe on his own. It is a miracle that he is alive, and the progress he has already made towards recovery – including regaining partial control of his breathing and movement in his shoulders – has defied doctors' expectations.  The road to recovery for Pedro will be long, but he is dedicated to continuing his journey and living a full life. As we, his immediate family, are still in the wake of this devastating tragedy, it’s difficult to imagine what the future holds, but we know that Pedro will never cease to be the brilliant, beautiful, hardworking, and vivacious man that he is. We simply need to be able to support him along that journey.  We are asking for your help to cover the costs of hospital stays, rehabilitation facilities, and 24/7 care for Pedro as he transitions into a life that is different, but still his own. We also need help with housing, transportation, and food costs for our family as we support him during this time. Your support means the world to Pedro and to all of us.    About Pedro:  Pedro is a fighter, a light in this world and a joy to all those who know him. He has always been a pioneer, a brave young man who has consistently defied expectations. Pedro is a first-generation immigrant from the Dominican Republic who came to New York City at the age of four and was quickly recognized as among the brightest of his peers. Despite not speaking English when he arrived, he was placed in gifted and talented school programs almost immediately, went on to graduate from the prestigious Prep for Prep leadership development program, and became the first member of his family to go to college. After graduating with honors from Wesleyan University in 2010, he went on to establish a career in the music industry which has taken him from New York to Miami and now Los Angeles. Pedro has a deep passion for his work and has thrived by carving his own path, conducting business in English, Spanish, and Portuguese and booking concert tours and festival appearances around the world for artists of all kinds.   An incredibly dedicated friend, family member, worker, and partner, Pedro is always the first person to volunteer to help and always has the biggest smile on his face. His compassion for others is palpable, his creativity knows no bounds, and he is beloved by all those who know him. He is a truly remarkable person, and we know his journey to recovery will be no different. Thank you for keeping him in your thoughts, and for contributing what you can to help him with this next phase of his life.  ",Donate $5
2,A1C42B3V15RM9U,"  Late on the night of October 4th, 2019, our beloved Pedro Ventura was outside of a nightclub in Asheville, North Carolina when a stranger fired many gunshots into the crowd. He was visiting town from Los Angeles for one night for a wedding, but the course of his life was changed forever.   Despite the presence of up to 300 people in the street, Pedro was the only person hit in the gunfire, and his injuries are severe. The bullet entered his body at the back of his neck and ended up in his C4 vertebra, shattering parts of his spine and severing his spinal cord, initially leaving him paralyzed from the neck down and unable to breathe on his own. It is a miracle that he is alive, and the progress he has already made towards recovery – including regaining partial control of his breathing and movement in his shoulders – has defied doctors' expectations.  The road to recovery for Pedro will be long, but he is dedicated to continuing his journey and living a full life. As we, his immediate family, are still in the wake of this devastating tragedy, it’s difficult to imagine what the future holds, but we know that Pedro will never cease to be the brilliant, beautiful, hardworking, and vivacious man that he is. We simply need to be able to support him along that journey.  We are asking for your help to cover the costs of hospital stays, rehabilitation facilities, and 24/7 care for Pedro as he transitions into a life that is different, but still his own. We also need help with housing, transportation, and food costs for our family as we support him during this time. Your support means the world to Pedro and to all of us.    About Pedro:  Pedro is a fighter, a light in this world and a joy to all those who know him. He has always been a pioneer, a brave young man who has consistently defied expectations. Pedro is a first-generation immigrant from the Dominican Republic who came to New York City at the age of four and was quickly recognized as among the brightest of his peers. Despite not speaking English when he arrived, he was placed in gifted and talented school programs almost immediately, went on to graduate from the prestigious Prep for Prep leadership development program, and became the first member of his family to go to college. After graduating with honors from Wesleyan University in 2010, he went on to establish a career in the music industry which has taken him from New York to Miami and now Los Angeles. Pedro has a deep passion for his work and has thrived by carving his own path, conducting business in English, Spanish, and Portuguese and booking concert tours and festival appearances around the world for artists of all kinds.   An incredibly dedicated friend, family member, worker, and partner, Pedro is always the first person to volunteer to help and always has the biggest smile on his face. His compassion for others is palpable, his creativity knows no bounds, and he is beloved by all those who know him. He is a truly remarkable person, and we know his journey to recovery will be no different. Thank you for keeping him in your thoughts, and for contributing what you can to help him with this next phase of his life.  ",Donate $5
